"page","position","agency_name","categories"
1,1,"RimborsoalVolo.it","Ufficio assistenza legale, Sito di ricerca di voli aerei, Avvocato, Servizi legali, Ufficio assistenza legale, Sito di ricerca di voli aerei, Avvocato, Servizi legali"
1,2,"Roma STARBIKE","Tour operator, Agenzia di escursioni turistiche, Tour operator, Agenzia di escursioni turistiche"
1,3,"Crocierepiu.it","Agenzia di viaggi in crociera, Agenzia viaggi, Agenzia di viaggi in crociera, Agenzia viaggi"
1,4,"Rimborsovoli.it","Sito di ricerca di voli aerei, Sito di ricerca di voli aerei"
1,5,"VMvacanze","Tour operator, Agenzia viaggi, Tour operator, Agenzia viaggi"
1,6,"Colopolo Viaggi","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
1,7,"Il Fido Custode","Servizio di cremazione, Struttura ricettiva che accetta gli animali, Cimitero degli animali, Onoranze funebri per animali domestici, Rifugio per animali, Servizio di trasporto animali domestici, Servizio di cremazione, Struttura ricettiva che accetta gli animali, Cimitero degli animali, Onoranze funebri per animali domestici, Rifugio per animali, Servizio di trasporto animali domestici"
1,8,"Travellero","Agenzia viaggi, Centro informazioni turistiche, Tour operator, Agenzia viaggi, Centro informazioni turistiche, Tour operator"
1,9,"visafy","Ufficio passaporti e visti, Consulente per il visto, Ufficio passaporti e visti, Consulente per il visto"
1,10,"Purocotone","Fabbrica tessile, Negozio di lenzuola, Arredatore d'interni, Negozio di biancheria da letto, Negozio di forniture per hotel, Negozio di piumoni e trapunte, Fabbrica tessile, Negozio di lenzuola, Arredatore d'interni, Negozio di biancheria da letto, Negozio di forniture per hotel, Negozio di piumoni e trapunte"
1,11,"Bianco Viaggi Pellegrinaggi di Fede","Tour operator, Tour operator"
1,12,"Ellade viaggi","Agenzia viaggi, Agenzia viaggi"
1,13,"YallaYalla","Agenzia viaggi, Agenzia viaggi"
1,14,"Evaneos","Viaggi e vacanze, Viaggi e vacanze"
1,15,"Go-Etna Excursions","Agenzia per escursioni, Tour operator, Agenzia di escursioni in elicottero, Agenzia di escursioni turistiche, Agenzia per escursioni, Tour operator, Agenzia di escursioni in elicottero, Agenzia di escursioni turistiche"
1,16,"Dayuse.it","Hotel, Hotel"
1,17,"Sos Viaggiatore","Sito di ricerca di voli aerei, Associazione o organizzazione, Servizi legali, Sito di ricerca di voli aerei, Associazione o organizzazione, Servizi legali"
1,18,"Sasinae Viaggi","Tour operator, Noleggio di appartamenti per vacanze, Casa vacanze, Agenzia di affitto di case vacanze, Tour operator, Noleggio di appartamenti per vacanze, Casa vacanze, Agenzia di affitto di case vacanze"
1,19,"Segreti Natura","Negozio di forniture per hotel, Negozio di forniture per il bagno, Negozio di cosmetici, Negozio di forniture per hotel, Negozio di forniture per il bagno, Negozio di cosmetici"
1,20,"Luxrest Venice","Noleggio vacanze, Agenzia di affitto di case vacanze, Noleggio vacanze, Agenzia di affitto di case vacanze"
2,1,"Adonde.it","Tour operator, Agenzia viaggi, Tour operator, Agenzia viaggi"
2,2,"The Travel Agenzia Viaggi","Tour operator, Agenzia viaggi, Tour operator, Agenzia viaggi"
2,3,"Lupiaevacanze","Alloggio di gruppo, Agenzia di affitto di case vacanze, Casa vacanze, Bed & Breakfast, Noleggio di appartamenti per vacanze, Appartamento vacanze, Alloggio di gruppo, Agenzia di affitto di case vacanze, Casa vacanze, Bed & Breakfast, Noleggio di appartamenti per vacanze, Appartamento vacanze"
2,4,"Blueberry Travel Company","Tour operator, Tour operator"
2,5,"ibookingelba di ARGONAUTIVACANZE","Agenzia di affitto di case vacanze, Noleggio di appartamenti per vacanze, Noleggio vacanze, Casa vacanze, Tour operator, Agenzia di affitto di case vacanze, Noleggio di appartamenti per vacanze, Noleggio vacanze, Casa vacanze, Tour operator"
2,6,"Sudsudvacanze","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
2,7,"Yesvacanze.com","Tour operator, Tour operator"
2,8,"CAV DI STEVEN RICHARD SCARLL","Ufficio passaporti e visti, Ufficio passaporti e visti"
2,9,"Agriturismo.Net","Agenzia di affitto di case vacanze, Casa vacanze, Noleggio di appartamenti per vacanze, Agenzia viaggi, Agriturismo, Agenzia di affitto di case vacanze, Casa vacanze, Noleggio di appartamenti per vacanze, Agenzia viaggi, Agriturismo"
2,10,"Walking Cap","Centro informazioni turistiche, Agenzia di intrattenimento, Azienda di gestione di eventi, Tour operator, Centro informazioni turistiche, Agenzia di intrattenimento, Azienda di gestione di eventi, Tour operator"
2,11,"Bike Summer Camp","Campi ricreativi e per vacanze, Campi ricreativi e per vacanze"
2,12,"Travelledia Tour Operator","Agenzia viaggi, Tour operator, Servizio sistemazione per vacanze, Agenzia di viaggi in crociera, Agenzia viaggi, Tour operator, Servizio sistemazione per vacanze, Agenzia di viaggi in crociera"
2,13,"Offerte-Crociere.com","Agenzia di viaggi in crociera, Organizzatore di eventi, Agenzia di viaggi in crociera, Organizzatore di eventi"
2,14,"terrachevive.com","Fornitore di escursioni culturali, Tour operator, Agenzia viaggi, Fornitore di escursioni culturali, Tour operator, Agenzia viaggi"
2,15,"Guiddy","Agenzia viaggi, Agenzia viaggi"
2,16,"Evvai.com","Tour operator, Agenzia viaggi, Tour operator, Agenzia viaggi"
2,17,"WeRoad Italia - Viaggi di gruppo","Tour operator, Agenzia viaggi, Tour operator, Agenzia viaggi"
2,18,"GB Viaggi","Tour operator, Hotel per famiglie, Tour operator, Hotel per famiglie"
2,19,"ProntoIschia.it","Sito di raccolta di viaggi, Sito di raccolta di viaggi"
2,20,"Cruisetopic","Agenzia viaggi, Agenzia di escursioni in crociera, Agenzia viaggi, Agenzia di escursioni in crociera"
3,1,"Freedome","Centro per il tempo libero, Servizio di coupon, Sport di avventura, Organizzatore di attività all'aperto, Agenzia per escursioni, Centro per il tempo libero, Servizio di coupon, Sport di avventura, Organizzatore di attività all'aperto, Agenzia per escursioni"
3,2,"Holding Tour","Tour operator, Tour operator"
3,3,"Eurotex Hotellerie","Servizio di e-commerce, Negozio di forniture per hotel, Servizio di e-commerce, Negozio di forniture per hotel"
3,4,"HoEscape.com - InfoIschia.com","Tour operator, Tour operator"
3,5,"Gate Islands Travel","Casa vacanze, Noleggio vacanze, Casa vacanze, Noleggio vacanze"
3,6,"Xplore America.it","Tour operator, Tour operator"
3,7,"Belsalento","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
3,8,"My Rental Homes","Noleggio vacanze, Agenzia di affitto di case vacanze, Noleggio di appartamenti per vacanze, Appartamento vacanze, Casa vacanze, Noleggio vacanze, Agenzia di affitto di case vacanze, Noleggio di appartamenti per vacanze, Appartamento vacanze, Casa vacanze"
3,9,"Seinvacanza.com","Tour operator, Tour operator"
3,10,"Nowmyplace","Agenzia di escursioni turistiche, Agenzia di escursioni turistiche"
3,11,"Eurospin Viaggi","Tour operator, Tour operator"
3,12,"MediaVacanze","Servizio sistemazione per vacanze, Casa vacanze, Agenzia di affitto di case vacanze, Noleggio vacanze, Appartamento vacanze, Servizio sistemazione per vacanze, Casa vacanze, Agenzia di affitto di case vacanze, Noleggio vacanze, Appartamento vacanze"
3,13,"Turisanda","Tour operator, Tour operator"
