"review_title","review_rating","review_text","review_verified","page_number","agency_name","review_date"
"Precisi ed efficaci ",5,"La pratica è stata gestita con dovizia di particolari. Tutte le informazioni sull’ avanzamento della controversia sono state fornite con la massima puntualità. Sono molto contento di come sia stato seguito tutto l’iter per ottenere l’indennizzo. Professionalità e competenza. Li consiglio assolutamente. ",TRUE,1,"RimborsoalVolo.it ",2024-04-04 07:23:30
"Servizio estremamente valido",5,"Servizio estremamente valido. Personale preparato, cordiale e disponibile a rispondere in maniera esaustiva ad ogni dubbio. Mi hanno supportato attivamente nell'ottenere un rimborso (circa 2.000€) a seguito di un volo cancellato.La compagnia di volo inizialmente non aveva provveduto al pagamento, nemmeno con istanza di conciliazione. Rimborsoalvolo.it non ha desistito permettendomi di essere risarcita a costo zero.Lo consiglio vivamente.",TRUE,1,"RimborsoalVolo.it ",2024-04-02 08:07:27
"Rimborso al Volo Piacevole Scoperta",5,"Qualche anno fa casualmente siamo venuto a conoscenza dell'esistenza di Rimborso al Volo e dopo l'ennesimo disservizio di una compagnia Area abbiamo deciso di provare il loro utilizzo.Sono trascorsi quattro anni dal momento in cui ci siamo affidati ai servizi di RaV e finalmente dopo continui rinvii del giudice di pace siamo riusciti a fare valere i nostri diritti di viaggiatori delusi e scontenti. RaV è finalmente riuscita a farci ottenere un rimborso per i danni ricevuti in merito ad una cancellazione di volo da parte di Vueling che ci ha causato non pochi problemi durante un viaggio di lavoro. Inoltre non abbiamo dovuto versare nessun acconto a titolo di caparra o chicchessia..",TRUE,1,"RimborsoalVolo.it ",2024-04-02 16:17:34
"SODDISFATTO MA……….",4,"Sono stato rimborsato di 250€ per un volo Catania - Milano e per questo grazie. Ma è ASSURDO aspettare quasi 2 anni per il rimborso!!!! Personale al telefono molto gentili in decine e decine di chiamate fatte Per sapere della mia situazione. Valutazione non totale solo Per i tempi di attesa non per il resto.Grazie lo stesso lo consiglio ugualmente.",TRUE,1,"RimborsoalVolo.it ",2024-04-04 14:08:28
"Il migliore di sempre!",5,"Mi sono affidata più volte a RimborsoalVolo.it, e tutte le volte sono rimasta soddisfatta dalla velocità e dall'efficienza del sito e di tutti coloro che ne fanno parte.Il migliore di sempre!",TRUE,1,"RimborsoalVolo.it ",2024-04-05 09:44:21
"Assistenza al TOP e risultato finale…",5,"Assistenza al TOP e risultato finale raggiunto, il rimborso è stato accreditato!è stata una procedura lunghissima ma solo per colpa della compagnia aereaGrazie!",TRUE,1,"RimborsoalVolo.it ",2024-04-03 11:45:51
"Un rientro inaspettato",5,"A settembre, assieme a mio marito, avevamo un volo programmato di ritorno da Bilbao a Roma. Purtroppo,a causa di uno sciopero, la compagnia da noi scelta ha cancellato il nostro volo, offrendoci due soluzioni : altro giorno per volare oppure rimborso. Quindi, una volta chiesto il rimborso , abbiamo acquistato un biglietto con un'altra compagnia...che ci è costato almeno 5volte di più! Inoltre il volo non era diretto per la data per cui dovevamo rientrare , ma aveva uno scalo. Abbiamo perso i soldi dell'appartamento e della macchina affittata per un giorno in più. Inoltre io, incinta al 4 mese, ho subito un grande disagio.Ho presentato il problema a Rimborsoalvolo.it ed in pochi mesi, con professionalità, puntualità e chiarezza, mi hanno aiutato ad avere indietro i soldi spesi ulteriormente.Semplicemente un servizio ottimo, considerando che è a costo zero per chi lo utilizza. Trovato e consigliato tramite un'amica!",TRUE,1,"RimborsoalVolo.it ",2024-04-02 09:22:39
"Professionalità e affidabilità a costo zero.",5,"RimborsoalVolo è un'azienda specializzata in cause contro compagnie aeree manchevoli nei confronti di passeggeri rimasti a terra, senza valigie ecc.Non solo sono estremamente professionali, ma gentili e rassicuranti. E' un'assistenza COMPLETAMENTE GRATUITA e ti permette di soddisfare le tue pretese e tutelare i tuoi diritti in tempi nonostante tutto ragionevoli. Sinceramente affidabili, competenti e serissimi.",TRUE,1,"RimborsoalVolo.it ",2024-04-01 11:32:24
"Mi sono rivolto a RimborsoalVolo.it per 2 volte, entrambe con successo",5,"Mi sono rivolto a RimborsoalVolo.it per 2 volte a causa di coincidenze perse per colpa della compagnia aerea. In entrambi i casi la compagnia si era rifiutata di erogare l'indennizzo per ritardo alla destinazione finale con più di 3 ore, ma grazie a RimborsoalVolo.it sono riuscito ad ottenere, per tutti i passeggeri, l'indennizzo di cui avevo diritto. I tempi sono quelli che sono (nella mia esperienza tra i 9 e i 12 mesi), ma dipendono per lo più da come la Compagnia aerea decide di sbrigare la cosa. Da parte di RimborsoalVolo.it ho sempre ottenuto risposte rapide e chiare. Lo consiglio al 100%. ",TRUE,1,"RimborsoalVolo.it ",2024-04-02 09:47:59
"Soddisfatto e non mancherò di far conoscere ad altri questo utile servizio",4,"RimborsoalVolo mi è stato suggerito da familiari che negli scorsi anni avevano vissuto un disservizio di volo e ne avevano fruito.Anche la mia esperienza, così come la loro, è risultata positiva, ottenendo un rimborso per lo slittamento del volo al giorno successivo.Assolutamente impeccabile la cortesia e la puntualità delle risposte da parte di chi si è preso carico della mia pratica.Dalla transazione con la compagnia al momento del rimborso sono trascorsi circa 6 mesi.Non do 5 stelle, perché avrei ritenuto utile che l'utente ricevesse stralcio dei termini dell'accordo.Mi ritengo soddisfatto e non mancherò di far conoscere ad altri questo utile servizio.",TRUE,1,"RimborsoalVolo.it ",2024-03-26 10:26:52
